VV256,线性代数和微分方程A,Honors Mathematics III,4,60,,Vv215/255/285,Engineering Foundation,,,,Jing Liu,曾用名Applied Calculus IV/Applied Honors Calculus IV,
VV285,高等数学B2,Honors Calculus IV,4,60,,Vv186,Engineering Foundation,,,,Horst Hohberger,曾用名Honors Mathematics III/Honors Calculus III,
VV286,线性代数和微分方程B,Honors Mathematics IV,4,60,,Vv285,Engineering Foundation,,,,Horst Hohberger,曾用名Honors Mathematics IV/Honors Differential Equations,
VV371,数值计算A,Numerical Methods,4,60,,Vg101; and Vv216/256/286,Advanced Mathematics,,,,,,
VV450,工程数学A,Advanced Mathematics for Engineers I,4,60,,Vv215/255/256,Advanced Mathematics,,,,,,
VV454,工程数学B,Boundary Value Problems for Partial Differential Equations,4,60,,Vv216/256/286,Advanced Mathematics,,,,Horst Hohberger,,
VV471,数值计算B,Introduction to Numerical Methods,4,60,,Vg101 and Vv216/256/286,Advanced Mathematics,,,,,No credit after Math 371,
VV556,应用数学方法（1）,Methods of Applied Math I,4,60,,Vv216/256/286,Advanced Mathematics,,,,Horst Hohberger,,
VV557,应用数学方法（2）,Methods of Applied Mathematics II,4,60,,Vv216/256/286,Advanced Mathematics,,,,Horst Hohberger,,
VV570,工程数值分析,"Introduction to Engineering
Numerical Analysis",3,45,,Vv216/256/287,Advanced Mathematics,,,,"Jing Liu, Manuel Charlemagne",,
VW100,德语（1）,German I,2,30,,,Intellectual Breadth,Humanities,,25,Quanbo Xie,VW100+VW200=VY200(2007 students only).Renamed to VW110,
VW101,德语,German,2,30,,,Intellectual Breadth,Humanities,,,,,
VW110,德语（1）,German I,2,30,,,Intellectual Breadth,Humanities,,,Quanbo Xie,No credit after Vw100/Vw101,
VW111,德语（2）,German II ,2,30,,VW110,Intellectual Breadth,Humanities,,,Quanbo Xie,"Level A1, No credit after Vw200",
VW200,德语（2）,German II,2,30,,,Intellectual Breadth,Humanities,,25,Quanbo Xie,VW100+VW200=VY200(2007 students only).Renamed to VW111,
VW210,德语（3）,German III,2,30,,VW111,Intellectual Breadth,Humanities,,,Quanbo Xie,No credit after Vw300,
VW211,德语（4）,German IV,2,30,,VW210,Intellectual Breadth,Humanities,,,Quanbo Xie,"Level A2, No credit after Vw400",
VW300,德语（3）,German III,2,30,,Vw200,Intellectual Breadth,Humanities,,,Quanbo Xie,Renamed to VW210,
VW310,德语（5）,German V,2,30,,VW211,Intellectual Breadth,Humanities,,,Quanbo Xie,,
VW311,德语（6）,German VI ,2,30,,VW310,Intellectual Breadth,Humanities,,,Quanbo Xie,Level B1,
VW400,德语（4）,German IV,2,30,,VW300,Intellectual Breadth,Humanities,,,Quanbo Xie,Renamed to VW211,
VX101,科技前沿讲座,Seminar-Dynamic Team Building,1,15,,,Intellectual Breadth,Professional Development,,,Douglas W.,,
VX203,领导力与管理,Leadership and Management,3,45,,,Intellectual Breadth,Professional Development,Elective for entrepreneurship,25,Andrew Yang,,
VX250,商务交流,Business Communications,3,45,,,Intellectual Breadth,Professional Development,,35,Irene Wei,,
VX251,品牌管理,Branding and Brand Management,2,30,,,Intellectual Breadth,Professional Development,Elective for entrepreneurship,30,Jie Li,,
VX310,人际沟通：社会和跨文化沟通技巧,Interpersonal Communication: Social and Cross-Cultural Communication Skills,3,45,,"VY100, preceded or accompanied by VY200",Intellectual Breadth,Professional Development,,30,Rockwell Clancy,,
VX351,品牌管理（高级）,Advanced Branding and Brand Management ,2,30,,VX251,Intellectual Breadth,Professional Development,Elective for entrepreneurship,30,Jie Li,,
VX401,创业讲坛,Entrepreneurship ,1,15,,,Intellectual Breadth,Professional Development,,,Vincent Chang,,
VX402,商业管理,Managing a Business,2,30,,,Intellectual Breadth,Professional Development,core course for entrepreneurship,30,Pradeep Ray,,
VX420,创业管理,Entrepreneurship Basics,3,45,,,Intellectual Breadth,Professional Development,core course for entrepreneurship,30,Pradeep Ray,,
VX421,领导力和商业管理,Leadership and Technology Management,3,45,,,Intellectual Breadth,Professional Development,Elective for entrepreneurship,,Vincent Chang,曾用名Leadership and Business Management,
VX422,电子商务管理,E-Business Management ,3,45,,,Intellectual Breadth,Professional Development,Elective for entrepreneurship,35,Pradeep Ray,,
VX423,企业创新,Intrapreneurship,3,45,,VX420,Intellectual Breadth,Professional Development,Practicum for Entrepreneurship,,Pradeep Ray,,
VY100,综合英语,Academic Writing I,4,60,,,MOE and SJTU Requirements,,,,,,
VY101,大学基础英语（1）,College English I,2,30,,,MOE and SJTU Requirements,,,,Masako Iwamoto,,
VY102,大学基础英语（2）,College English II,2,30,,,MOE and SJTU Requirements,,,,Alexander Cano,,
